Date,Close,High,Low,Open,Volume,Ticker
,PG,PG,PG,PG,PG,
2015-01-02,67.86196899414062,68.28216510130797,67.47178198770587,68.16210579940723,7251400,PG
2015-01-05,67.539306640625,68.28215485424347,67.41924735674151,67.70438529359394,8626100,PG
2015-01-06,67.23167419433594,67.95201288600197,66.97655674561263,67.76442450614904,7791200,PG
2015-01-07,67.58432006835938,67.80942834348075,67.20163829054954,67.48677620233545,5986600,PG
2015-01-08,68.35718536376953,68.45473495785798,67.62934173745464,67.89196997562375,6823300,PG
2015-01-09,67.71936798095703,68.4171966002213,67.6218241378465,68.4171966002213,4872800,PG
2015-01-12,67.47177124023438,67.99702201526979,67.16412934641711,67.89197300521104,5250900,PG
2015-01-13,67.75691986083984,68.65734172470948,67.35922771747578,68.11708631649066,6727100,PG
2015-01-14,67.52429962158203,67.65186404804066,67.10410355722516,67.32921186298321,6418200,PG
2015-01-15,67.42676544189453,67.90699122016822,67.03657841908287,67.89948608229876,6768200,PG
2015-01-16,68.46973419189453,68.53726323664647,67.43424876584442,67.4942726751547,8815700,PG
2015-01-20,68.42471313476562,68.87492392952257,67.90696757218767,68.46973249681906,9869900,PG
2015-01-21,68.5637435913086,68.91136023534136,67.7324801322562,68.31436455359287,6974500,PG
2015-01-22,69.23633575439453,69.28923383590802,67.91387795109883,68.79803407016364,7211200,PG
2015-01-23,68.07258605957031,68.91140278401983,67.9743426271377,68.89628574881806,6745700,PG
2015-01-26,67.6947250366211,67.9743267022935,67.05994231243358,67.9743267022935,9371700,PG
2015-01-27,65.35963439941406,65.90373218776655,65.00445913393631,65.82060581646503,14417400,PG
2015-01-28,64.34701538085938,65.67703161692425,64.2412192244579,65.46543353866315,14033400,PG
2015-01-29,64.73995208740234,65.07245748700333,64.34699587779275,64.82307843730258,12054500,PG
2015-01-30,63.69711685180664,64.39990884928643,63.66688855707595,64.30166545004728,14685300,PG
2015-02-02,64.3243637084961,64.33947497846846,63.236167775773836,63.91629023372525,10278700,PG
2015-02-03,64.95157623291016,64.98936305249646,64.32435769217575,64.95157623291016,10747900,PG
2015-02-04,64.83065795898438,65.35208600178996,64.64929393927478,64.90622582007519,9212800,PG
2015-02-05,65.5183334350586,65.57879003052521,65.06492049997557,65.170716659313,6531300,PG
2015-02-06,64.69461822509766,65.4503081884648,64.34700153380359,65.41252138411369,8429800,PG
2015-02-09,64.2714614868164,64.55862172152311,63.923838879724904,64.46793681113498,8811500,PG
2015-02-10,64.52838134765625,64.6644058050646,64.09763819343948,64.48304178367289,7059300,PG
2015-02-11,64.7173080444336,65.14049271003302,64.3470214620341,64.95157016068204,7184600,PG
2015-02-12,65.01205444335938,65.10273938122806,64.54353001135729,65.03472423646127,6074600,PG
2015-02-13,64.91381072998047,65.10273334225313,64.61153339725209,65.01204841279645,6272000,PG
2015-02-17,64.60396575927734,65.03470902383916,64.23367910581959,65.03470902383916,10310400,PG
2015-02-18,65.18585968017578,65.28409736288218,64.62664459734087,64.80801445605192,8132300,PG
2015-02-19,64.39234161376953,65.21604667862007,64.27143421667863,65.07246373945875,7271600,PG
2015-02-20,64.13542938232422,64.27145384901205,63.6215598154434,64.1958802166065,9581300,PG
2015-02-23,64.52838134765625,64.6115077252646,63.96917225184777,64.20343435303951,7919200,PG
2015-02-24,64.61152648925781,64.79289056331993,64.24123982312184,64.61908500726956,6502200,PG
2015-02-25,64.5812759399414,64.83821357470796,64.41502319370268,64.76263995153911,5975800,PG
2015-02-26,64.36212921142578,64.8079894015638,64.15053689019079,64.55105175045107,7964500,PG
2015-02-27,64.3319091796875,64.52083174298849,63.90872448284019,64.24878279059834,7685000,PG
2015-03-02,64.54350280761719,64.54350280761719,64.11275385838846,64.3319047084411,7235200,PG
2015-03-03,64.35458374023438,64.56617608540289,63.88605371489055,64.49816096562215,6095600,PG
2015-03-04,63.74245834350586,64.41502206664352,63.63666219147013,64.26388635386616,7370000,PG
2015-03-05,63.954063415527344,64.05230683735829,63.5459899910102,63.94651066420114,5914200,PG
2015-03-06,62.4653205871582,63.75754943161802,62.2461698569812,63.73487389501582,11338700,PG
2015-03-09,62.79031753540039,62.88100246613939,62.480487444931605,62.56361385674386,7326700,PG
2015-03-10,61.61899948120117,62.631621908503234,61.61899948120117,62.32179182457519,9681400,PG
2015-03-11,61.50562286376953,61.80034157069544,61.067321178689504,61.611419027001475,10066600,PG
2015-03-12,62.03460693359375,62.05728248301147,61.596310990983945,61.656761826388156,6951100,PG
2015-03-13,61.83815383911133,62.178212251550114,61.32428407812906,61.95150856507788,7492500,PG
2015-03-16,63.14545822143555,63.440176877311075,61.95902508316659,62.02704018515343,15618300,PG
2015-03-17,62.60893249511719,63.001894631403154,62.29154399189611,62.99433611500492,7509300,PG
2015-03-18,63.28909683227539,63.515806350993934,61.98174936986187,62.61653256299627,12607900,PG
2015-03-19,63.00945281982422,63.28906029610067,62.81297750018488,63.06990942530981,9257500,PG
2015-03-20,64.03717041015625,64.07495721717966,63.30415017137732,63.4704028975487,22580300,PG
2015-03-23,64.12786865234375,64.27145163040748,63.75002356519369,63.75758208126507,9891100,PG
2015-03-24,63.41748809814453,64.31676082587644,63.379707066544626,64.15050814356071,7478800,PG
2015-03-25,62.729854583740234,63.75759387208698,62.616499883540605,63.75759387208698,8482200,PG
2015-03-26,62.07994842529297,62.42756521055558,61.928806932488506,62.40489542799951,7311600,PG
2015-03-27,62.20085525512695,62.3746665288138,61.95903463442682,62.02704974689849,6440600,PG
2015-03-30,62.51068878173828,62.68449428383159,62.079945636150356,62.442673671667464,6416800,PG
2015-03-31,61.92124557495117,62.669377122603805,61.921245574951165,62.540911195670475,8649700,PG
2015-04-01,62.20843505859375,62.30667273749349,61.550982318528334,62.29911998443529,7395300,PG
2015-04-02,62.29154968261719,62.41245712874093,61.906146027520435,62.095068596524435,6169800,PG
2015-04-06,62.752525329589844,62.89610833640072,61.59632005389703,61.90615008935358,6856300,PG
2015-04-07,62.26131820678711,62.941440573633265,62.215978637483694,62.6693916268948,6329900,PG
2015-04-08,62.54848098754883,62.858316765057246,62.17063585329517,62.19331140433612,6523400,PG
2015-04-09,62.6391487121582,62.68448827088414,61.97414353386135,62.44266768191641,6185000,PG
2015-04-10,62.98678970336914,63.19838207951356,62.51070685704422,62.57116346893115,7001700,PG
2015-04-13,63.047245025634766,63.44020146394226,62.67695837495619,62.722297950214056,8290500,PG
2015-04-14,63.17570877075195,63.3873011351047,62.76008255947606,63.017014497487395,6792600,PG
2015-04-15,63.10768508911133,63.6291073642362,63.08501530742654,63.3646169688166,7006400,PG
2015-04-16,63.100135803222656,63.530879014614314,62.986781112759786,63.14547537322418,7615900,PG
2015-04-17,62.36711502075195,62.88854313494427,61.98926989811034,62.722290358508516,9533800,PG
2015-04-20,62.62403106689453,63.46284741060215,62.57113299861824,62.79027802043642,7416000,PG
2015-04-21,62.78274917602539,63.326847094291686,62.64672469645882,63.01701131537813,7696400,PG
2015-04-22,62.79031753540039,62.97924015034449,62.42003082443893,62.88856098506614,6753100,PG
2015-04-23,61.665164947509766,62.54119998712258,61.627080005164146,62.02319711419064,14569500,PG
2015-04-24,61.7032585144043,62.10699495503731,61.62708281440751,61.733729956769686,8785500,PG
2015-04-27,61.39854049682617,61.8556004386224,61.29951268318395,61.634692686023,9192300,PG
2015-04-28,61.26142883300781,61.566137432468935,61.086225311305036,61.49758104880258,8395500,PG
2015-04-29,60.82722854614258,61.17764144503954,60.72820070900883,60.94149501165621,11858500,PG
2015-04-30,60.56821060180664,61.05574194095612,60.23303062670437,60.9033847650769,9409300,PG
2015-05-01,61.16238784790039,61.18523997087208,60.65961789519559,60.75865151051544,8193000,PG
2015-05-04,61.208099365234375,61.68039793947434,61.170014426367764,61.307132992319204,7203800,PG
2015-05-05,60.99483108520508,61.43665840941047,60.77391742310239,61.322391920483554,6589400,PG
2015-05-06,61.24620056152344,61.383319150860565,60.5758404306159,61.200490490522014,7335700,PG
2015-05-07,61.09383010864258,61.36045372758076,60.941478736534165,61.22333516795027,7224300,PG
2015-05-08,61.672794342041016,61.863236520399035,61.56614718710725,61.61947076457413,6929400,PG
2015-05-11,61.14715576171875,61.69563001900233,61.13954226113551,61.66515858117185,5237800,PG
2015-05-12,60.90339660644531,61.16240094988185,60.45395592683947,60.96433948864604,6305800,PG
2015-05-13,60.71296310424805,61.39093678273663,60.598702448641845,61.06338182088692,6459900,PG
2015-05-14,61.37569046020508,61.46710477640826,61.01003900722502,61.025277632508555,5634200,PG
2015-05-15,61.74132537841797,61.79464892896456,61.49755974565766,61.57373541617692,7454800,PG
2015-05-18,61.50518035888672,61.80226957655868,61.3223575661267,61.68038965199593,5590800,PG
2015-05-19,61.57376480102539,61.66517332453894,61.19288045482852,61.512821910793754,5729500,PG
2015-05-20,61.30712890625,61.703245952690736,61.28427097025441,61.649922392365404,5487000,PG
2015-05-21,61.25381088256836,61.38331013908768,60.81959723688703,61.07098224907115,6054700,PG
2015-05-22,60.90339660644531,61.246195959949574,60.88054447857832,61.12431019554811,6003600,PG
2015-05-26,60.286376953125,60.994822105977526,60.13402553154058,60.91864639518532,6698300,PG
2015-05-27,60.476810455322266,60.89578552229201,60.24827754391452,60.34731118438011,8094600,PG
2015-05-28,60.43109893798828,60.52250744210348,60.19494674141445,60.50727462869517,5803400,PG
2015-05-29,59.71501541137695,60.36251729142533,59.56266407907056,60.31681305409957,12551700,PG
2015-06-01,60.065433502197266,60.233023469835416,59.623606462393305,59.9130821562524,7588000,PG
2015-06-02,59.82931137084961,59.96642996239117,59.54745487383817,59.76836848309033,7380800,PG
2015-06-03,59.84452819824219,60.1263846199502,59.62361464801139,60.111151807996954,5985800,PG
2015-06-04,59.532222747802734,60.05783917827596,59.46366054532048,59.73028422939914,7714600,PG
2015-06-05,58.983734130859375,59.50935624622994,58.93802988146448,59.448413372481866,9439700,PG
2015-06-08,59.19704055786133,59.40272134612503,58.7323612206238,59.021837024575156,10916200,PG
2015-06-09,60.1035270690918,60.43108770891477,59.280815813932016,59.39508223467614,11528900,PG
2015-06-10,60.591068267822266,60.78151039621805,60.187331885516414,60.35492188839791,9483500,PG
2015-06-11,60.49204635620117,60.88816346471167,60.36254127926206,60.88816346471167,7633300,PG
2015-06-12,60.080711364746094,60.42350502292848,59.85217838473444,60.30923853292265,6508600,PG
2015-06-15,59.50934600830078,59.76834445942377,59.364608161007745,59.66931666549404,7527900,PG
2015-06-16,60.255897521972656,60.63678183729718,59.82930894859589,60.63678183729718,8285700,PG
2015-06-17,61.002410888671875,61.086205872153855,60.3015854012146,60.332051020815975,9305800,PG
2015-06-18,61.56613540649414,61.870843995928126,61.17001830851302,61.19287043564981,10712500,PG
2015-06-19,61.352840423583984,61.85560465024226,61.307136169842195,61.48233968374096,15598800,PG
2015-06-22,61.2842903137207,61.84038402849227,61.19288178821537,61.642322536840666,6907900,PG
2015-06-23,60.781517028808594,61.28428128048311,60.652017762208075,61.19287276845129,7190600,PG
