US GDP,Date,Inflation,Unemployment
^GSPC,,^TNX,^DJI
2500.22998046875,2017-09-15 00:00:00+00:00,2.2019999027252197,22268.33984375
2503.8701171875,2017-09-18 00:00:00+00:00,2.2290000915527344,22331.349609375
2506.64990234375,2017-09-19 00:00:00+00:00,2.243000030517578,22370.80078125
2508.239990234375,2017-09-20 00:00:00+00:00,2.2769999504089355,22412.58984375
2500.60009765625,2017-09-21 00:00:00+00:00,2.2780001163482666,22359.23046875
2502.219970703125,2017-09-22 00:00:00+00:00,2.26200008392334,22349.58984375
2496.659912109375,2017-09-25 00:00:00+00:00,2.2200000286102295,22296.08984375
2496.840087890625,2017-09-26 00:00:00+00:00,2.2290000915527344,22284.3203125
2507.0400390625,2017-09-27 00:00:00+00:00,2.309000015258789,22340.7109375
2510.06005859375,2017-09-28 00:00:00+00:00,2.309000015258789,22381.19921875
2519.360107421875,2017-09-29 00:00:00+00:00,2.3259999752044678,22405.08984375
2529.1201171875,2017-10-02 00:00:00+00:00,2.3369998931884766,22557.599609375
2534.580078125,2017-10-03 00:00:00+00:00,2.3340001106262207,22641.669921875
2537.739990234375,2017-10-04 00:00:00+00:00,2.3299999237060547,22661.640625
2552.070068359375,2017-10-05 00:00:00+00:00,2.3499999046325684,22775.390625
2549.330078125,2017-10-06 00:00:00+00:00,2.369999885559082,22773.669921875
2544.72998046875,2017-10-09 00:00:00+00:00,2.3610000610351562,22761.0703125
2550.639892578125,2017-10-10 00:00:00+00:00,2.3450000286102295,22830.6796875
2555.239990234375,2017-10-11 00:00:00+00:00,2.3450000286102295,22872.890625
2550.929931640625,2017-10-12 00:00:00+00:00,2.322999954223633,22841.009765625
2553.169921875,2017-10-13 00:00:00+00:00,2.2799999713897705,22871.720703125
2557.639892578125,2017-10-16 00:00:00+00:00,2.306999921798706,22956.9609375
2559.360107421875,2017-10-17 00:00:00+00:00,2.2980000972747803,22997.439453125
2561.260009765625,2017-10-18 00:00:00+00:00,2.3389999866485596,23157.599609375
2562.10009765625,2017-10-19 00:00:00+00:00,2.321000099182129,23163.0390625
2575.2099609375,2017-10-20 00:00:00+00:00,2.38100004196167,23328.630859375
2564.97998046875,2017-10-23 00:00:00+00:00,2.375999927520752,23273.9609375
2569.1298828125,2017-10-24 00:00:00+00:00,2.4059998989105225,23441.759765625
2557.14990234375,2017-10-25 00:00:00+00:00,2.444000005722046,23329.4609375
2560.39990234375,2017-10-26 00:00:00+00:00,2.4519999027252197,23400.859375
2581.070068359375,2017-10-27 00:00:00+00:00,2.427999973297119,23434.189453125
2572.830078125,2017-10-30 00:00:00+00:00,2.369999885559082,23348.740234375
2575.260009765625,2017-10-31 00:00:00+00:00,2.375999927520752,23377.240234375
2579.360107421875,2017-11-01 00:00:00+00:00,2.375999927520752,23435.009765625
2579.85009765625,2017-11-02 00:00:00+00:00,2.3469998836517334,23516.259765625
2587.840087890625,2017-11-03 00:00:00+00:00,2.3429999351501465,23539.189453125
2591.1298828125,2017-11-06 00:00:00+00:00,2.319999933242798,23548.419921875
2590.639892578125,2017-11-07 00:00:00+00:00,2.306999921798706,23557.23046875
2594.3798828125,2017-11-08 00:00:00+00:00,2.325000047683716,23563.359375
2584.6201171875,2017-11-09 00:00:00+00:00,2.3310000896453857,23461.939453125
2582.300048828125,2017-11-10 00:00:00+00:00,2.4000000953674316,23422.2109375
2584.840087890625,2017-11-13 00:00:00+00:00,2.4000000953674316,23439.69921875
2578.8701171875,2017-11-14 00:00:00+00:00,2.38100004196167,23409.470703125
2564.6201171875,2017-11-15 00:00:00+00:00,2.3350000381469727,23271.279296875
2585.639892578125,2017-11-16 00:00:00+00:00,2.3610000610351562,23458.359375
2578.85009765625,2017-11-17 00:00:00+00:00,2.3540000915527344,23358.240234375
2582.139892578125,2017-11-20 00:00:00+00:00,2.371999979019165,23430.330078125
