Date,Close,High,Low,Open,Volume,Ticker
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,
2015-01-02,26.35151481628418,26.662527868700302,26.268410321522673,26.503287439452063,26480000,GOOGL
2015-01-05,25.849414825439453,26.273885771708642,25.764322836130155,26.232085798376406,41182000,GOOGL
2015-01-06,25.211467742919922,25.93649991035023,25.15722648400916,25.90116924923008,54456000,GOOGL
2015-01-07,25.137319564819336,25.452810654848868,25.062677568471276,25.425940599196498,46918000,GOOGL
2015-01-08,25.224905014038086,25.254263709121876,24.633232204606667,24.95618924016824,73054000,GOOGL
2015-01-09,24.916873931884766,25.30900021794025,24.813867935562797,25.288100230480932,42000000,GOOGL
2015-01-12,24.734745025634766,24.89497825643245,24.42870733773082,24.8432256374153,57138000,GOOGL
2015-01-13,24.97061538696289,25.30899773013339,24.74469622592804,25.00893202687188,60958000,GOOGL
2015-01-14,25.17613410949707,25.29208063266262,24.78948434572866,24.90194563941595,52800000,GOOGL
2015-01-15,25.080591201782227,25.36622435009624,24.98106664317948,25.323429682085397,51068000,GOOGL
2015-01-16,25.40155601501465,25.420962059892116,25.034807773170588,25.037793756599353,49658000,GOOGL
2015-01-20,25.375680923461914,25.657832653151154,25.3473169258771,25.516508114522328,46796000,GOOGL
2015-01-21,25.895694732666016,25.96834733847556,25.35826324973092,25.42046586220361,46356000,GOOGL
2015-01-22,26.737171173095703,26.8138044588719,25.97133376461755,26.02557312241996,56068000,GOOGL
2015-01-23,26.96856689453125,27.140744075163962,26.660042440924343,26.773500335008666,45966000,GOOGL
2015-01-26,26.708309173583984,26.946172280809225,26.47691538098644,26.946172280809225,30932000,GOOGL
2015-01-27,25.935503005981445,26.512245817096385,25.919081045777528,26.443573891037325,39148000,GOOGL
2015-01-28,25.499588012695312,26.159433438060667,25.495607333998667,26.125097474176556,35822000,GOOGL
2015-01-29,25.539398193359375,25.636931463844675,25.054216680385302,25.52297623300577,79018000,GOOGL
2015-01-30,26.749610900878906,27.025790640778997,25.785719120905785,25.826524397480757,121108000,GOOGL
2015-02-02,26.48338508605957,26.697362226380704,25.96187821225495,26.588879715290837,75378000,GOOGL
2015-02-03,26.53812599182129,26.744637241960717,26.215168964835826,26.370924184436983,47062000,GOOGL
2015-02-04,26.17983627319336,26.709801856826733,26.12658971226051,26.530160678669176,33896000,GOOGL
2015-02-05,26.365447998046875,26.408242664891617,26.156943588378695,26.27089881572773,33176000,GOOGL
2015-02-06,26.566984176635742,26.88247525732463,26.306729044814695,26.424167604600843,42938000,GOOGL
