Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
1980-03-17,1.059498906135559,1.0789751158173382,1.0556038046174374,0.0,62775
1980-03-18,1.0672886371612549,1.0750791361841219,1.0594982384370635,0.0,64125
1980-03-19,1.0828701257705688,1.0867654275567906,1.075079722795586,0.0,40500
1980-03-20,1.0750796794891357,1.082870082150305,1.0711845784572773,0.0,18900
1980-03-21,1.0984504222869873,1.0984504222869873,1.0750792242010097,0.0,97200
1980-03-24,1.0711843967437744,1.0906602997941195,1.0711843967437744,0.0,90450
1980-03-25,1.0672886371612549,1.0750791361841219,1.0633935380978348,0.0,72225
1980-03-26,1.0750796794891357,1.082870082150305,1.059498773868071,0.0,31725
1980-03-27,1.0672886371612549,1.0711840371207018,1.036127042264489,0.0,62100
1980-03-28,1.0556031465530396,1.067288644420127,1.0361270493114239,0.0,84375
1980-03-31,1.0867657661437988,1.0906608685460975,1.0672895520409744,0.0,55350
1980-04-01,1.0750796794891357,1.106241390432539,1.0672891765292403,0.0,126225
1980-04-02,1.1140313148498535,1.1140313148498535,1.0828696172838932,0.0,58725
1980-04-03,1.1568795442581177,1.1685652519418515,1.1374033313523093,0.0,311175
1980-04-07,1.1646685600280762,1.184144749703744,1.1529828662824027,0.0,115425
1980-04-08,1.14519202709198,1.156877716311519,1.14519202709198,0.0,218025
1980-04-09,1.1296117305755615,1.1374021272516464,1.106240540547307,0.0,181575
1980-04-10,1.1529842615127563,1.1607748671688258,1.129612946038333,0.0,191700
1980-04-11,1.1529842615127563,1.1763557775846938,1.1490891592822357,0.0,112050
1980-04-14,1.1490885019302368,1.1529836019325115,1.141298101328288,0.0,18900
1980-04-15,1.1218222379684448,1.1412984459516997,1.1218222379684448,0.0,63450
1980-04-16,1.1412980556488037,1.1412980556488037,1.1296122546161955,0.0,30375
1980-04-17,1.1218222379684448,1.1335079426986518,1.1179271367900159,0.0,43875
1980-04-18,1.1140313148498535,1.133507413440585,1.1140313148498535,0.0,27675
1980-04-21,1.0867657661437988,1.1101370826489219,1.0750800577418564,0.0,83700
1980-04-22,1.1218222379684448,1.1218222379684448,1.0750797199438071,0.0,122850
1980-04-23,1.1218222379684448,1.1218222379684448,1.094555827628332,0.0,132300
1980-04-24,1.1140313148498535,1.1218217141666729,1.0984504159175317,0.0,209250
1980-04-25,1.0984504222869873,1.1101362219273436,1.0945553229046747,0.0,21600
1980-04-28,1.1218222379684448,1.1296126409227627,1.1101367338356978,0.0,141750
1980-04-29,1.1257171630859375,1.1296122629610887,1.117926762738242,0.0,45225
1980-04-30,1.1374027729034424,1.1412981740500252,1.1140315696084195,0.0,85050
1980-05-01,1.1568795442581177,1.1646699491814367,1.1412987344114796,0.0,48600
1980-05-02,1.1685640811920166,1.176354578609022,1.149087988097486,0.0,49950
1980-05-05,1.2308884859085083,1.2308884859085083,1.1841459638932712,0.0,621675
